x,y,z
1578,739,-271
1574,815,-5
1574,815,-5
781,1567,693
778,1608,570
778,1608,570
1989,691,-848
1997,48,-153
1466,-243,-788
1359,508,-7
1641,-358,-941
1996,551,387
2078,53,-34
2088,390,-922
1931,743,-1092
1594,724,-1006
1690,859,-1015
1768,831,-1153
1288,871,-758
1649,807,-1102
1856,700,-1369
1403,758,-443
935,1257,-186
839,871,-285
1633,918,-1056
1364,581,-1056
894,1312,28
1002,1035,258
1150,1594,236
1311,1219,477
1296,839,-259
1244,1117,-523
1563,-32,-15
2357,-390,-623
1707,-456,-944
1895,386,794
1474,658,-163
1648,754,-767
1566,769,-829
1567,772,-885
1452,777,-777
1641,749,-1007
2343,847,-1186
2269,889,-1152
1900,859,-1193
1523,925,-882
1840,761,-1231
1427,629,-616
1598,745,-1205
1118,1077,-273
1079,771,-224
1596,730,-1186
1503,766,-523
1392,921,68
1357,1478,265
1785,871,-64
1500,1088,-667
1115,803,336
1448,-171,364
1625,-574,-968
